Date	Open	High	Low	Close	Volume		
Jun 14, 2017	12,798.26	12,921.17	12,788.70	12,805.95	-		
Jun 13, 2017	12,739.50	12,790.30	12,727.83	12,764.98	-		
Jun 12, 2017	12,760.39	12,782.73	12,666.39	12,690.44	-		
Jun 9, 2017	12,711.53	12,821.03	12,711.53	12,815.72	-		
Jun 8, 2017	12,688.54	12,740.36	12,684.71	12,713.58	-		
Jun 7, 2017	12,659.97	12,746.42	12,640.52	12,672.49	-		
Jun 6, 2017	12,768.46	12,788.34	12,679.58	12,690.12	-		
jun 5, 2017							
Jun 2, 2017	12,735.00	12,878.59	12,734.78	12,822.94	-		
Jun 1, 2017	12,623.61	12,677.60	12,621.53	12,664.92	-		
May 31, 2017	12,612.52	12,709.13	12,582.80	12,615.06	-		
May 30, 2017	12,583.82	12,648.10	12,567.22	12,598.68	-		
May 26, 2017	12,604.40	12,611.49	12,529.51	12,602.18	-		
May 25, 2017	12,693.84	12,697.66	12,543.77	12,621.72	-		
May 24, 2017	12,631.39	12,662.05	12,617.76	12,642.87	-		
May 23, 2017	12,597.54	12,703.74	12,593.33	12,659.15	-		
May 22, 2017	12,664.97	12,670.26	12,571.06	12,619.46	-		
May 19, 2017							
May 18, 2017	12,608.19	12,634.26	12,489.95	12,590.06	-		
May 17, 2017	12,700.12	12,786.89	12,587.45	12,631.61	-		
May 16, 2017	12,787.69	12,841.66	12,776.02	12,804.53	-		
May 15, 2017	12,824.05	12,832.29	12,729.49	12,807.04	-		
May 12, 2017	12,728.84	12,771.00	12,714.38	12,770.41	-		
May 11, 2017	12,767.13	12,772.88	12,662.49	12,711.06	-		
May 10, 2017	12,728.97	12,776.08	12,715.67	12,757.46	-		
May 9, 2017	12,732.74	12,783.23	12,703.96	12,749.12	-		
May 8, 2017	12,758.48	12,762.04	12,659.70	12,694.55	-		
May 5, 2017	12,601.46	12,718.66	12,591.75	12,716.89	-		
May 4, 2017	12,552.06	12,648.22	12,539.71	12,647.78	-		
May 3, 2017	12,502.36	12,532.25	12,477.87	12,527.84	-		
May 2, 2017	12,478.46	12,511.17	12,433.51	12,507.90	-		
May 1, 2017							
Apr 28, 2017	12,417.89	12,462.11	12,414.10	12,438.01	-		
Apr 27, 2017	12,440.01	12,478.28	12,426.99	12,443.79	-		
Apr 26, 2017	12,466.50	12,486.29	12,442.37	12,472.80	-		
Apr 25, 2017	12,457.83	12,482.90	12,439.11	12,467.04	-		
Apr 24, 2017	12,296.56	12,456.18	12,289.37	12,454.98	-		
Apr 21, 2017	12,032.78	12,091.33	12,009.12	12,048.57	-		
Apr 20, 2017	11,968.06	12,050.66	11,941.57	12,027.32	-		
Apr 19, 2017	12,014.03	12,040.23	12,001.86	12,016.45	-		
Apr 18, 2017	12,135.61	12,162.47	11,996.74	12,000.44	-		
Apr 17, 2017							
Apr 13, 2017	12,137.57	12,147.70	12,089.94	12,109.00	-		
Apr 12, 2017	12,174.96	12,242.76	12,123.12	12,154.70	-		
Apr 11, 2017	12,149.40	12,221.43	12,049.93	12,139.35	-		
Apr 10, 2017	12,244.50	12,246.88	12,178.10	12,200.52	-		
Apr 7, 2017	12,174.51	12,225.06	12,144.98	12,225.06	-		
Apr 6, 2017	12,147.37	12,242.50	12,119.04	12,230.89	-		
Apr 5, 2017	12,280.06	12,293.13	12,212.17	12,217.54	-		
Apr 4, 2017	12,255.72	12,288.78	12,225.38	12,282.34	-		
Apr 3, 2017	12,368.82	12,375.58	12,256.94	12,257.20	-		
Mar 31, 2017	12,241.57	12,313.29	12,230.17	12,312.87	-		
Mar 30, 2017	12,220.64	12,258.37	12,200.34	12,256.43	-		
Mar 29, 2017	12,195.86	12,233.76	12,180.83	12,203.00	-		
Mar 28, 2017	12,062.69	12,158.72	12,045.17	12,149.42	-		
Mar 27, 2017	11,957.65	11,996.35	11,916.07	11,996.07	-		
Mar 24, 2017	12,033.27	12,082.67	12,010.33	12,064.27	-		
Mar 23, 2017	11,914.20	12,043.67	11,896.68	12,039.68	-		
Mar 22, 2017	11,870.78	11,934.35	11,850.27	11,904.12	-		
Mar 21, 2017	12,083.01	12,111.24	11,938.42	11,962.13	-		
Mar 20, 2017	12,050.81	12,082.31	12,033.24	12,052.90	-		
Mar 17, 2017	12,039.24	12,117.90	12,018.27	12,095.24	-		
Mar 16, 2017	12,140.30	12,156.44	12,046.07	12,083.18	-		
Mar 15, 2017	12,000.44	12,027.05	11,977.32	12,009.87	-		
Mar 14, 2017	11,987.34	12,002.75	11,930.38	11,988.79	-		
Mar 13, 2017	11,954.80	12,006.01	11,949.03	11,990.03	-		
Mar 10, 2017	12,018.48	12,067.07	11,936.81	11,963.18	-		
Mar 9, 2017	11,923.51	12,024.70	11,917.78	11,978.39	-		
Mar 8, 2017	11,922.86	12,017.28	11,922.31	11,967.31	-		
Mar 7, 2017	11,963.76	11,988.87	11,935.33	11,966.14	-		
Mar 6, 2017	11,956.81	11,998.83	11,921.57	11,958.40	-		
Mar 3, 2017	11,998.06	12,058.21	11,995.40	12,027.36	-		
Mar 2, 2017	12,052.80	12,082.59	12,041.90	12,059.57	-		
Mar 1, 2017	11,915.03	12,074.02	11,913.84	12,067.19	-		
Feb 28, 2017	11,847.09	11,853.50	11,780.83	11,834.41	-		
Feb 27, 2017	11,858.14	11,860.82	11,792.51	11,822.67	-		
Feb 24, 2017	11,920.90	11,934.64	11,722.35	11,804.03	-		
Feb 23, 2017	11,994.06	12,015.98	11,925.88	11,947.83	-		
Feb 22, 2017	11,989.71	12,031.11	11,966.02	11,998.59	-		
Feb 21, 2017	11,817.97	11,987.58	11,798.48	11,967.49	-		
Feb 17, 2017	11,759.57	11,775.40	11,693.70	11,757.02	-		
Feb 16, 2017	11,778.99	11,814.70	11,728.38	11,757.24	-		
Feb 15, 2017	11,834.48	11,848.04	11,725.38	11,793.93	-		
Feb 14, 2017	11,766.99	11,787.82	11,752.68	11,771.81	-		
Feb 13, 2017	11,697.99	11,812.69	11,684.91	11,774.43	-		
Feb 10, 2017	11,698.70	11,711.55	11,645.13	11,666.97	-		
Feb 9, 2017	11,584.40	11,657.24	11,548.18	11,642.86	-		
Feb 8, 2017	11,546.93	11,591.26	11,479.78	11,543.38	-		
Feb 7, 2017	11,498.49	11,606.26	11,483.83	11,549.44	-		
Feb 6, 2017	11,628.03	11,679.91	11,509.58	11,509.84	-		
Feb 3, 2017	11,636.23	11,696.94	11,627.98	11,651.49	-		
Feb 2, 2017	11,628.28	11,675.98	11,603.65	11,627.95	-		
Feb 1, 2017	11,646.42	11,723.39	11,622.60	11,659.50	-		
Jan 31, 2017	11,692.53	11,733.16	11,535.31	11,535.31	-		
Jan 30, 2017	11,786.31	11,792.33	11,659.35	11,681.89	-		
Jan 27, 2017	11,841.72	11,844.68	11,798.26	11,814.27	-		
Jan 26, 2017	11,867.91	11,893.08	11,819.76	11,848.63	-		
Jan 25, 2017	11,677.63	11,827.73	11,669.30	11,806.05	-		
Jan 24, 2017	11,554.80	11,596.18	11,538.05	11,594.94	-		
Jan 23, 2017	11,545.97	11,605.29	11,508.83	11,545.75	-		
Jan 20, 2017	11,568.90	11,636.79	11,547.04	11,630.13	-		
Jan 19, 2017	11,624.11	11,644.88	11,578.91	11,596.89	-		
Jan 18, 2017	11,592.12	11,599.39	11,529.76	11,599.39	-		
Jan 17, 2017	11,521.50	11,583.43	11,425.14	11,540.00	-		
Jan 13, 2017	11,576.78	11,635.55	11,554.45	11,629.18	-		
Jan 12, 2017	11,599.24	11,606.43	11,491.87	11,521.04	-		
Jan 11, 2017	11,587.53	11,692.27	11,524.99	11,646.17	-		
Jan 10, 2017	11,583.24	11,606.95	11,544.99	11,583.30	-		
Jan 9, 2017	11,606.89	11,606.89	11,522.35	11,563.99	-		
Jan 6, 2017	11,560.52	11,605.74	11,547.05	11,599.01	-		
Jan 5, 2017	11,537.73	11,602.54	11,537.40	11,584.94	-		
Jan 4, 2017	11,609.53	11,616.09	11,531.43	11,584.31	-		
Jan 3, 2017	11,631.70	11,637.37	11,561.23	11,584.24	-		
Dec 30, 2016	11,443.31	11,481.66	11,405.77	11,481.06	-		
Dec 29, 2016	11,411.36	11,459.19	11,404.82	11,451.05	-		
Dec 28, 2016	11,469.45	11,475.89	11,459.40	11,474.99	-		
Dec 27, 2016	11,457.91	11,481.46	11,451.55	11,472.24	-		
Dec 23, 2016	11,477.23	11,480.18	11,409.43	11,449.93	-		
Dec 22, 2016	11,444.41	11,475.76	11,428.77	11,456.10	-		
Dec 21, 2016	11,445.23	11,479.88	11,440.29	11,468.64	-		
Dec 20, 2016	11,415.30	11,472.08	11,406.95	11,464.74	-		
Dec 19, 2016	11,384.03	11,426.70	11,380.12	11,426.70	-		
Dec 16, 2016	11,368.64	11,451.57	11,357.15	11,404.01	-		
Dec 15, 2016	11,267.03	11,387.11	11,267.03	11,366.40	-		
Dec 14, 2016	11,254.47	11,281.43	11,235.24	11,244.84	-		
Dec 13, 2016	11,194.67	11,300.44	11,191.64	11,284.65	-		
Dec 12, 2016	11,198.42	11,213.04	11,141.86	11,190.21	-		
Dec 9, 2016	11,170.18	11,231.69	11,145.98	11,203.63	-		
Dec 8, 2016	11,035.76	11,193.10	10,990.60	11,179.42	-		
Dec 7, 2016	10,885.05	10,988.79	10,873.81	10,986.69	-		
Dec 6, 2016	10,685.00	10,786.26	10,668.67	10,775.32	-		
Dec 5, 2016	10,494.64	10,730.74	10,493.62	10,684.83	-		
Dec 2, 2016	10,436.48	10,545.37	10,402.59	10,513.35	-		
Dec 1, 2016	10,593.06	10,627.10	10,502.54	10,534.05	-		
Nov 30, 2016	10,615.79	10,691.67	10,606.04	10,640.30	-		
Nov 29, 2016	10,562.15	10,624.76	10,539.23	10,620.49	-		
Nov 28, 2016	10,655.92	10,658.36	10,554.94	10,582.67	-		
Nov 25, 2016	10,700.17	10,710.16	10,649.37	10,699.27	-		
Nov 23, 2016	10,718.89	10,742.66	10,602.21	10,662.44	-		
Nov 22, 2016	10,745.67	10,767.73	10,707.87	10,713.85	-		
Nov 21, 2016	10,697.95	10,727.09	10,595.14	10,685.13	-		
Nov 18, 2016	10,735.05	10,737.98	10,649.12	10,664.56	-		
Nov 17, 2016	10,640.36	10,686.88	10,604.32	10,685.54	-		
Nov 17, 2016							
Nov 15, 2016	10,720.93	10,748.31	10,666.17	10,735.14	-		
Nov 14, 2016	10,750.62	10,802.39	10,677.09	10,693.69	-		
Nov 11, 2016	10,702.88	10,714.47	10,584.31	10,667.95	-		
Nov 10, 2016	10,710.04	10,793.97	10,575.96	10,630.12	-		
Nov 9, 2016	10,181.89	10,646.55	10,174.92	10,646.01	-		
Nov 8, 2016	10,449.52	10,486.04	10,414.83	10,482.32	-		
Nov 7, 2016	10,410.56	10,456.95	10,381.14	10,456.95	-		
Nov 4, 2016	10,281.87	10,286.39	10,212.53	10,259.13	-		
Nov 3, 2016	10,341.86	10,406.72	10,325.88	10,325.88	-		
Nov 2, 2016	10,443.52	10,460.93	10,368.20	10,370.93	-		
Nov 1, 2016	10,724.14	10,730.48	10,506.39	10,526.16	-		
Oct 31, 2016	10,658.67	10,687.74	10,634.34	10,665.01	-		
Oct 28, 2016	10,634.99	10,716.16	10,583.57	10,696.19	-		
Oct 27, 2016	10,691.86	10,772.67	10,656.18	10,717.08	-		
Oct 26, 2016	10,726.22	10,737.79	10,632.29	10,709.68	-		
Oct 25, 2016	10,786.25	10,827.72	10,738.36	10,757.31	-		
Oct 24, 2016	10,743.87	10,820.08	10,743.87	10,761.17	-		
Oct 21, 2016	10,710.51	10,737.26	10,672.35	10,710.73	-		
Oct 20, 2016	10,665.75	10,748.41	10,592.89	10,701.39	-		
Oct 19, 2016	10,626.99	10,672.22	10,587.71	10,645.68	-		
Oct 18, 2016	10,560.14	10,657.34	10,543.69	10,631.55	-		
Oct 17, 2016	10,544.69	10,583.70	10,491.28	10,503.57	-		
Oct 14, 2016	10,450.06	10,615.30	10,449.47	10,580.38	-		
Oct 13, 2016	10,425.79	10,430.83	10,349.06	10,414.07	-		
Oct 12, 2016	10,572.72	10,604.00	10,503.20	10,523.07	-		
Oct 11, 2016	10,600.94	10,692.36	10,568.72	10,577.16	-		
Oct 10, 2016	10,496.01	10,639.41	10,454.98	10,624.08	-		
Oct 7, 2016	10,549.69	10,579.09	10,465.35	10,490.86	-		
Oct 6, 2016	10,641.13	10,641.13	10,537.68	10,568.80	-		
Oct 5, 2016	10,535.62	10,622.44	10,486.63	10,585.78	-		
Oct 4, 2016	10,492.97	10,646.72	10,492.25	10,619.61	-		
Oct 3, 2016							
Sep 30, 2016	10,240.69	10,531.26	10,189.94	10,511.02	-		
Sep 29, 2016	10,545.60	10,575.34	10,370.23	10,405.54	-		
Sep 28, 2016	10,425.89	10,518.36	10,417.15	10,438.34	-		
Sep 27, 2016	10,451.40	10,455.88	10,265.69	10,361.48	-		
Sep 26, 2016	10,555.19	10,560.83	10,385.63	10,393.71	-		
Sep 23, 2016	10,662.49	10,675.62	10,610.95	10,626.97	-		
Sep 22, 2016	10,518.53	10,705.40	10,517.80	10,674.18	-		
Sep 21, 2016	10,496.43	10,535.25	10,427.22	10,436.49	-		
Sep 20, 2016	10,374.68	10,465.95	10,371.62	10,393.86	-		
Sep 19, 2016	10,349.87	10,381.93	10,326.75	10,373.87	-		
Sep 16, 2016	10,403.67	10,427.20	10,262.19	10,276.17	-		
Sep 15, 2016	10,360.84	10,446.40	10,337.23	10,431.20	-		
Sep 14, 2016	10,410.30	10,450.41	10,369.72	10,378.40	-		
Sep 13, 2016	10,483.07	10,507.04	10,382.85	10,386.60	-		
Sep 12, 2016	10,380.46	10,431.90	10,299.38	10,431.77	-		
Sep 9, 2016	10,641.81	10,671.66	10,539.31	10,573.44	-		
Sep 8, 2016	10,749.82	10,780.42	10,570.06	10,675.29	-		
Sep 7, 2016	10,706.86	10,775.93	10,659.73	10,752.98	-		
Sep 6, 2016	10,704.89	10,742.49	10,657.43	10,687.14	-		
Sep 2, 2016	10,570.70	10,693.64	10,516.81	10,683.82	-		
Sep 1, 2016	10,622.33	10,676.32	10,492.29	10,534.31	-		
Aug 31, 2016	10,627.18	10,666.81	10,591.44	10,592.69	-		
Aug 30, 2016	10,588.71	10,688.48	10,588.48	10,657.64	-		
Aug 29, 2016	10,503.88	10,566.69	10,441.81	10,544.44	-		
Aug 26, 2016	10,512.21	10,613.06	10,484.03	10,587.77	-		
Aug 25, 2016	10,576.56	10,576.56	10,470.73	10,529.59	-		
Aug 24, 2016	10,531.14	10,653.17	10,515.16	10,622.97	-		
Aug 23, 2016	10,542.95	10,627.00	10,516.27	10,592.88	-		
Aug 22, 2016	10,528.88	10,656.25	10,443.48	10,494.35	-		
Aug 19, 2016	10,613.23	10,618.11	10,490.96	10,544.36	-		
Aug 18, 2016	10,613.08	10,625.33	10,548.97	10,603.03	-		
Aug 17, 2016	10,694.55	10,696.76	10,516.05	10,537.67	-		
Aug 16, 2016	10,666.72	10,737.07	10,634.68	10,676.65	-		
Aug 15, 2016	10,719.14	10,802.32	10,712.13	10,739.21	-		
Aug 12, 2016	10,718.33	10,735.11	10,685.52	10,713.43	-		
Aug 11, 2016	10,687.57	10,742.84	10,635.42	10,742.84	-		
Aug 10, 2016	10,676.90	10,708.25	10,635.11	10,650.89	-		
Aug 9, 2016	10,438.60	10,701.33	10,433.79	10,692.90	-		
Aug 8, 2016	10,407.50	10,478.75	10,403.47	10,432.36	-		
Aug 5, 2016	10,242.88	10,374.33	10,216.64	10,367.21	-		
Aug 4, 2016	10,237.08	10,282.17	10,182.40	10,227.86	-		
Aug 3, 2016	10,150.13	10,189.15	10,092.53	10,170.21	-		
Aug 2, 2016	10,328.87	10,330.64	10,128.98	10,144.34	-		
Aug 1, 2016	10,426.36	10,459.34	10,277.37	10,330.52	-		
Jul 29, 2016	10,320.82	10,355.31	10,287.32	10,337.50	-		
Jul 28, 2016	10,309.92	10,381.90	10,264.39	10,274.93	-		
Jul 27, 2016	10,314.43	10,352.32	10,298.40	10,319.55	-		
Jul 26, 2016	10,199.66	10,275.41	10,150.00	10,247.76	-		
Jul 25, 2016	10,155.20	10,264.06	10,125.22	10,198.24	-		
Jul 22, 2016	10,130.51	10,181.24	10,073.28	10,147.46	-		
Jul 21, 2016	10,195.40	10,195.65	10,090.12	10,156.21	-		
Jul 20, 2016	10,054.54	10,146.71	9,991.65	10,142.01	-		
Jul 19, 2016	10,038.95	10,050.77	9,923.64	9,981.24	-		
Jul 18, 2016	10,079.03	10,160.30	10,011.84	10,063.13	-		
Jul 15, 2016	10,031.18	10,098.75	9,987.05	10,066.90	-		
Jul 14, 2016	10,058.49	10,109.86	9,984.55	10,068.30	-		
Jul 13, 2016	9,941.99	10,001.87	9,919.41	9,930.71	-		
Jul 12, 2016	9,850.40	10,013.49	9,841.11	9,964.07	-		
Jul 11, 2016	9,744.80	9,841.86	9,690.18	9,833.41	-		
Jul 8, 2016	9,392.20	9,655.92	9,389.05	9,629.66	-		
Jul 7, 2016	9,437.47	9,507.91	9,399.69	9,418.78	-		
Jul 6, 2016	9,449.57	9,530.59	9,304.01	9,373.26			
Jul 5, 2016	9,656.05	9,659.41	9,506.84	9,532.61	-		
Jul 1, 2016	9,742.84	9,806.47	9,657.63	9,776.12	-		
Jun 30, 2016	9,566.07	9,695.59	9,513.52	9,680.09	-		
Jun 29, 2016	9,557.69	9,640.39	9,506.29	9,612.27	-		
Jun 28, 2016	9,458.38	9,554.41	9,419.38	9,447.28	-		
Jun 27, 2016	9,516.92	9,589.28	9,214.10	9,268.66	-		
Jun 24, 2016	9,237.62	9,720.12	9,226.15	9,557.16	-		
Jun 23, 2016	10,122.47	10,340.84	10,104.92	10,257.03	-		
Jun 22, 2016	10,084.74	10,149.81	10,043.68	10,071.06	-		
Jun 21, 2016	9,943.84	10,051.07	9,930.10	10,015.54	-		
Jun 20, 2016	9,850.59	9,996.56	9,850.59	9,962.02	-		
Jun 17, 2016	9,620.92	9,705.29	9,578.15	9,631.36	-		
Jun 16, 2016	9,480.43	9,582.38	9,432.87	9,550.47	-		
Jun 15, 2016	9,589.47	9,665.21	9,567.15	9,606.71	-		
Jun 14, 2016	9,595.17	9,620.84	9,507.51	9,519.20	-		
